stock_name,ossUrl,companyName,name,id,time,announcementType,title,uuid,stock_code
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/e030a1e49ac8b1f02971ac2babcf55c2.pdf,牧原食品股份有限公司,牧原股份,22994631,2026-03-06,其他,牧原股份:关于调整“牧原转债”转股价格的公告,e030a1e49ac8b1f02971ac2babcf55c2,002714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/939f16fc0841cba2266ab7557e8a2939.pdf,牧原食品股份有限公司,牧原股份,22994630,2026-03-06,其他,牧原股份:关于部分行使超额配股权、稳定价格行动及稳定价格期间结束的公告,939f16fc0841cba2266ab7557e8a2939,002714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/a30923d42ab871c59bd91c7c54566d50.pdf,牧原食品股份有限公司,牧原股份,22994629,2026-03-06,月度经营情况,牧原股份:2026年2月份销售简报,a30923d42ab871c59bd91c7c54566d50,002714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/5e76112788f562d4aba393c13a6ab00d.pdf,牧原食品股份有限公司,牧原股份,23339271,2026-03-05,其他-雜項,部分行使超额配股权、稳定价格行动及稳定价格期间结束,5e76112788f562d4aba393c13a6ab00d,HK.02714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/2b1367df997e42c97b94d4ae3dc6f894.pdf,牧原食品股份有限公司,牧原股份,23339270,2026-03-05,其他-業務發展最新情況,2026年2月销售简报,2b1367df997e42c97b94d4ae3dc6f894,HK.02714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/80953b83faf331057ee40f8197fc7b28.pdf,牧原食品股份有限公司,牧原股份,23339269,2026-03-05,海外監管公告-其他,海外监管公告 - 关于调整“牧原转债”转股价格的公告,80953b83faf331057ee40f8197fc7b28,HK.02714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/e842ba1de91fb56f771ffb40c479a6ec.pdf,牧原食品股份有限公司,牧原股份,22992873,2026-03-04,月報表,截至2026年2月28日止月份之股份发行人的证券变动月报表,e842ba1de91fb56f771ffb40c479a6ec,HK.02714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/72f37e14aca1c13c94b20a2c1fda17f5.pdf,牧原食品股份有限公司,牧原股份,22979593,2026-02-26,召开股东大会通知,牧原股份:关于召开2026年第一次临时股东会的通知,72f37e14aca1c13c94b20a2c1fda17f5,002714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/a4c4e01022f81b33f4aa4832767e4c56.pdf,牧原食品股份有限公司,牧原股份,22979592,2026-02-26,公司章程,牧原股份:公司章程（2026年2月）,a4c4e01022f81b33f4aa4832767e4c56,002714
牧原股份,http://stock.tianyancha.com/Announcement/eastmoney/bd94d619ea27c507c370bff3c661e5b5.pdf,牧原食品股份有限公司,牧原股份,22979591,2026-02-26,公司章程修订,牧原股份:公司章程修正案,bd94d619ea27c507c370bff3c661e5b5,002714
