reportDate,thscode,secName,ctime,reportTitle,pdfURL,seq,time
2026-08-12,,天赐材料,2026-08-11 16:13:52,天赐材料：关于为子公司提供担保的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5239742249&token=NTIzOTc0MjI0OTo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6Mjg0MDZmZjE3MTY0MmQwM2QxMDlmYzYxMjc3OTk5Njc=&userid=853692789&ip=47.94.147.190,5239742249,
2026-08-04,,天赐材料,2026-08-03 17:47:57,天赐材料：关于公司2026年中期利润分配方案的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5223442143&token=NTIyMzQ0MjE0Mzo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6NDQ0ZjQ1YTk4NjlmYWYxOWYwMzAxYWJkMzAwMjVhYjQ=&userid=853692789&ip=47.94.147.190,5223442143,
2026-08-04,,天赐材料,2026-08-03 17:47:57,天赐材料：第七届董事会第五次会议决议的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5223442215&token=NTIyMzQ0MjIxNTo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6YzEzMmFhMTBjMmMwMzQyNzE1ZTg5YzVlNmMyZDRlMzQ=&userid=853692789&ip=47.94.147.190,5223442215,
2026-08-04,,天赐材料,2026-08-03 17:45:48,天赐材料：关于召开2026年第三次临时股东会通知的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5223433822&token=NTIyMzQzMzgyMjo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6YTVhMTcwOWY1NDgxOTk5YjNjZjY4NTA2MzBiNzI0ODc=&userid=853692789&ip=47.94.147.190,5223433822,
2026-07-21,,天赐材料,2026-07-21 11:43:03,天赐材料：关于收到控股股东2026年度中期分红提议的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5201424316&token=NTIwMTQyNDMxNjo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6NTVkMzdhZWE1YjA0YTEyNmQ5NjhiY2RjMmRhMjBjNDM=&userid=853692789&ip=47.94.147.190,5201424316,
2026-07-21,,天赐材料,2026-07-20 18:31:05,天赐材料：北京国枫律师事务所关于广州天赐高新材料股份有限公司2026年第二次临时股东会的法律意见,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5200511277&token=NTIwMDUxMTI3Nzo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6ZDJmNjBkNzZlOTI3Y2I2YTgxYTcyYWUzNmM3MmFkZDU=&userid=853692789&ip=47.94.147.190,5200511277,
2026-07-21,,天赐材料,2026-07-20 18:31:05,天赐材料：2026年第二次临时股东会决议公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5200511282&token=NTIwMDUxMTI4Mjo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6YWE0ZDFjNjgzYjM2Y2VmNmU5MzNkMzZiMTk0MWI2MjQ=&userid=853692789&ip=47.94.147.190,5200511282,
2026-07-15,,天赐材料,2026-07-14 17:43:34,天赐材料：关于召开2026年第二次临时股东会的提示性公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5192905706&token=NTE5MjkwNTcwNjo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6NzkxNWI1YzUzNTkzMjFlZTlmMWNlN2M3OTJkMjY4ZWY=&userid=853692789&ip=47.94.147.190,5192905706,
2026-07-14,,天赐材料,2026-07-14 07:34:37,天赐材料：2026年7月10日投资者关系活动记录表,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5192324896&token=NTE5MjMyNDg5Njo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6ZTI4YmI2Y2Q2NmM4OTM4YjI3ZjJiM2Q4NWJiZGQ3ZTE=&userid=853692789&ip=47.94.147.190,5192324896,
2026-07-10,,天赐材料,2026-07-09 16:55:04,天赐材料：2026年半年度业绩预告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5187577506&token=NTE4NzU3NzUwNjo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6MjNlODcxMmE0MmJjYjBlNmU0NTE0Nzg0NTQ1NzQwMTA=&userid=853692789&ip=47.94.147.190,5187577506,
2026-07-04,,天赐材料,2026-07-03 19:50:04,天赐材料：中国国际金融股份有限公司关于广州天赐高新材料股份有限公司部分募投项目变更并将剩余募集资金投入新项目的核查意见,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5176475534&token=NTE3NjQ3NTUzNDo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6ZGI5NTk0ZDQ1NWYzYWE1ZWQ4YTc2YzJmNTEzOWQxNjA=&userid=853692789&ip=47.94.147.190,5176475534,
2026-07-04,,天赐材料,2026-07-03 19:50:04,天赐材料：关于部分募投项目变更并将剩余募集资金投入新项目的公告,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5176475594&token=NTE3NjQ3NTU5NDo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6YTdmMWIzOTA3YTRkZDgzNzlmMTJhOGM5NTYyZjUxMzU=&userid=853692789&ip=47.94.147.190,5176475594,
2026-07-04,,天赐材料,2026-07-03 19:50:04,天赐材料：股东会议事规则（2026年7月）,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5176475531&token=NTE3NjQ3NTUzMTo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6ZDU0MjNlYmYzMTQ4YTFlZDEzODk2MmU3NmU2MDU1YWU=&userid=853692789&ip=47.94.147.190,5176475531,
2026-07-04,,天赐材料,2026-07-03 19:50:04,天赐材料：会计制度（2026年7月）,http://ft.10jqka.com.cn/standardgwapi/api/news_service/pubnote/download/resource?seq=5176475583&token=NTE3NjQ3NTU4Mzo6OmRzc2VydmljZTo4NTM2OTI3ODk6NDcuOTQuMTQ3LjE5MDo6MTowOjE3ODY1OTUyMjU6NmRjMmFlMzQyN2UyNTRkMDJjNDQxZjA0OWRjOTAxYzE=&userid=853692789&ip=47.94.147.190,5176475583,
